ring_order	strain	assembly_accession	assembly_version	source_database	status
1	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	GenBank	TO_CONFIRM
2	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	GenBank	TO_CONFIRM
3	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	GenBank	TO_CONFIRM
4	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	GenBank	TO_CONFIRM
5	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	GenBank	TO_CONFIRM
6	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	GenBank	TO_CONFIRM
7	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	GenBank	TO_CONFIRM
8	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	GenBank	TO_CONFIRM
9	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	GenBank	TO_CONFIRM
10	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	GenBank	TO_CONFIRM
11	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	GenBank	TO_CONFIRM
12	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	GenBank	TO_CONFIRM

