sample_id	strain	assembly_accession	assembly_version	included_in_roary	status
LABIM53	Bacillus nitratireducens LABIM53	JBLFHU000000000	TO_CONFIRM	true	assembly accession known; version TO_CONFIRM
PUBLIC-01	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	true	TO_CONFIRM
PUBLIC-02	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	true	TO_CONFIRM
PUBLIC-03	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	true	TO_CONFIRM
PUBLIC-04	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	true	TO_CONFIRM
PUBLIC-05	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	true	TO_CONFIRM
PUBLIC-06	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	true	TO_CONFIRM
PUBLIC-07	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	true	TO_CONFIRM
PUBLIC-08	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	true	TO_CONFIRM
PUBLIC-09	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	true	TO_CONFIRM
PUBLIC-10	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	true	TO_CONFIRM
PUBLIC-11	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	true	TO_CONFIRM
PUBLIC-12	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	true	TO_CONFIRM
PUBLIC-13	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	true	TO_CONFIRM
PUBLIC-14	TO_CONFIRM	TO_CONFIRM	TO_CONFIRM	true	TO_CONFIRM

